GEO_ID,NAME,Biden,Buttigieg,Gabbard,Klobuchar,Sanders,Steyer,Warren,White%,Black%,20_54%,55_85+%,UniversityDegree
45001,Abbeville County,57.7,4.1,1.3,2.1,14.6,15.9,3.1,69.8,27.4,40.86,35.27,15.9
45003,Aiken County,44.8,8.2,1.3,4,21,13.2,6.8,70.6,24.7,43.15,32.61,26.4
45005,Allendale County,58.3,1,0.2,0.2,12.6,25.4,1.8,23.5,75.7,44.76,32.20,9.4
45007,Anderson County,41.8,7.4,1.7,3.9,23.5,13.6,7.4,79.8,15.8,43.64,30.85,21.4
45009,Bamberg County,58.8,1.4,0.2,1,14.8,20.7,2.3,36.2,61.1,41.40,34.62,18.7
45011,Barnwell County,59.3,1.8,0.7,1.5,15.3,17.2,2.7,50.8,45.7,41.06,31.37,11.5
45013,Beaufort County,45.8,12.5,1.2,5.6,15.2,12.2,6.9,75.3,18.1,38.93,39.10,40.3
45015,Berkeley County,49.1,8.3,1.8,2.4,21.3,9.4,6.9,67.1,23.8,47.98,25.15,23.8
45017,Calhoun County,59.9,2.5,1.3,1.8,15.4,16.2,2.2,55.4,41.4,40.64,37.70,19.2
45019,Charleston County,44.3,12.6,1.6,3.6,19.2,7.4,10.9,68.2,27.3,49.04,28.48,42.8
45021,Cherokee County,57.1,3.3,1.2,2.1,21.2,10.9,3.3,75.3,20,44.82,28.90,13.8
45023,Chester County,63.8,3.2,0.7,1.8,19.9,7,2.8,60.6,36.9,42.99,32.20,13.7
45025,Chesterfield County,64.1,3.2,0.9,1.5,18.8,7.9,2.7,63,32.3,44.15,31.16,10.1
45027,Clarendon County,68.5,2.5,0.9,1.6,12.4,11,2.1,49.3,48.8,41.18,36.83,15.5
45029,Colleton County,57.8,3.8,1.6,1.8,16.9,13.1,4.3,57.5,38.4,42.00,33.61,15.2
45031,Darlington County,61.1,4.1,0.8,1.2,16,13.2,3,56.6,40.7,42.91,32.02,17.2
45033,Dillon County,64.1,1.7,0.3,1.6,15.6,13.8,1.7,46.8,48.1,43.00,29.05,11.1
45035,Dorchester County,47.5,9,2,2.5,21.7,9.4,7.4,67.8,25.4,47.26,25.36,27.9
45037,Edgefield County,55.9,3.2,0.8,1.9,17.6,15.6,3.7,59.9,36.5,46.33,32.77,17.8
45039,Fairfield County,61.1,2.2,1.3,1.2,11.1,20.1,2.3,39.7,56.3,41.05,36.83,17
45041,Florence County,58.8,3.9,0.6,1.5,17.9,12.7,4.1,53.9,42.5,44.79,28.98,23.1
45043,Georgetown County,53.5,7.8,1.3,3.7,17.6,11.4,4.2,64.6,31.3,36.43,42.09,27.2
45045,Greenville County,38.2,10.5,1.5,4.3,24.7,10.7,9.6,74.4,18.1,46.71,27.51,34.2
45047,Greenwood County,47.9,4.9,1,2.9,18.8,19.4,4.3,63.8,32,43.59,30.40,23.5
45049,Hampton County,53.1,1.6,0.6,0.9,15.2,25.7,1.9,42.7,53.4,44.46,31.16,11.4
45051,Horry County,43.8,9.5,1.3,4.2,22.3,12.7,5.7,80.8,13.7,41.61,37.45,23.6
45053,Jasper County,52.7,5.6,1.2,3.2,16,16.8,3.6,52.2,43.1,44.22,31.32,16.9
45055,Kershaw County,55.2,5.6,1,2.2,16.8,13.8,4.7,71.3,23.9,42.46,32.12,19.9
45057,Lancaster County,51.5,10.2,1.3,5,20.1,4.3,6.7,73.8,21.4,43.51,32.79,26.9
45059,Laurens County,49.8,4.2,1.5,2.5,20.6,15.4,5,70.1,24.7,43.60,31.65,15.4
45061,Lee County,68.9,1.8,0.7,0.4,12.2,13.3,1.9,32.7,65.6,45.48,31.90,12.3
45063,Lexington County,39.9,10.6,2,3.3,23.6,11.6,8.6,79.3,14.6,46.18,28.29,30.1
45065,McCormick County,48.2,4.5,1,3.6,13.7,25.2,2.8,50.5,46.7,37.82,48.83,20.2
45067,Marion County,66.8,1.5,0.3,0.9,15.3,12.4,1.9,39.7,56.8,41.42,33.28,14.4
45069,Marlboro County,61.4,1.2,0.5,1.4,12.8,20.2,1.5,41.5,50.6,47.45,30.09,9.4
45071,Newberry County,55.4,6.4,1.8,2.6,14.9,14.3,3.8,62.8,31.6,41.75,32.87,17.1
45073,Oconee County,37.6,9.7,1.4,6.9,24,12.8,7,87.8,7.1,40.23,37.60,24.6
45075,Orangeburg County,69.9,1.8,0.5,0.6,10.7,13,2.8,34.4,61.6,42.36,32.26,19.5
45077,Pickens County,32.6,9.9,2.1,4.9,27.8,11.7,10.7,88.3,6.6,46.84,28.10,24.5
45079,Richland County,53.1,6.7,0.8,1.9,16.8,12.2,8,45.5,46.6,49.98,23.25,37.7
45081,Saluda County,54.1,3.7,1,1.8,18.1,16.7,3.5,65.1,25.2,41.23,32.92,16.1
45083,Spartanburg County,42.3,7.8,1.2,3.2,24.9,12.3,7.7,73.4,20.4,45.59,28.40,23.8
45085,Sumter County,65.4,3.2,0.6,0.9,13.1,13,3,48,47,45.13,27.95,18.5
45087,Union County,57.3,2.6,0.8,1.5,19,14.2,3.2,65.3,31.4,42.19,34.50,12.1
45089,Williamsburg County,70.1,0.9,0.4,0.8,13.5,11.5,1.8,32,64.7,42.31,34.11,12.7
45091,York County,43.6,11.7,1.3,4.7,24.7,4.7,8.7,74.4,19.1,46.64,26.25,32
