NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POP2010,WHITE,BLACK,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE
Abbeville,South Carolina,45,1,45001,25417,17691,7187,1556,2499,3105,3669,3733,2389,1337,477,41.5
Aiken,South Carolina,45,3,45003,160099,111457,39354,10080,19324,19384,24020,21408,14100,7877,2642,40
Allendale,South Carolina,45,5,45005,10419,2465,7672,683,1418,1385,1484,1461,789,409,177,38.7
Anderson,South Carolina,45,7,45007,187126,149818,30020,10798,21412,24889,27720,24163,16113,8901,3315,39.7
Bamberg,South Carolina,45,9,45009,15987,5770,9837,1340,1555,1698,2170,2214,1408,827,330,39.2
Barnwell,South Carolina,45,11,45011,22621,11899,10015,1325,2537,2715,3413,3017,1773,1038,362,38.8
Beaufort,South Carolina,45,13,45013,162233,116606,31290,11756,20137,17534,18580,22159,20137,9698,3197,40.6
Berkeley,South Carolina,45,15,45015,177843,118232,44514,13378,26379,24347,25491,20128,11529,4814,1451,34.5
Calhoun,South Carolina,45,17,45017,15175,8177,6459,793,1597,1826,2405,2394,1479,723,268,43.4
Charleston,South Carolina,45,19,45019,350209,224910,104239,31910,55456,43171,47982,43059,25010,13869,5842,35.9
Cherokee,South Carolina,45,21,45021,55342,41525,11278,3618,6366,7712,7876,7062,4341,2260,841,38.2
Chester,South Carolina,45,23,45023,33140,19814,12387,1946,3597,4365,5105,4491,2797,1481,557,40.3
Chesterfield,South Carolina,45,25,45025,46734,29352,15253,2725,5214,6385,6979,6259,3788,1931,613,39.3
Clarendon,South Carolina,45,27,45027,34971,16445,17504,2505,3677,3840,5055,5122,3640,1686,541,41.5
Colleton,South Carolina,45,29,45029,38892,22173,15178,2229,4157,4709,5763,5474,3635,1741,702,40.7
Darlington,South Carolina,45,31,45031,68681,38366,28573,4013,7592,8795,10122,9645,5758,2900,1135,39.6
Dillon,South Carolina,45,33,45033,32062,15399,14782,1988,3907,3911,4573,4028,2400,1263,496,36.7
Dorchester,South Carolina,45,35,45035,136555,92621,35266,8027,18582,19868,20260,15415,8589,3895,1365,35.6
Edgefield,South Carolina,45,37,45037,26985,15825,10030,1566,3451,3842,4321,3778,2156,984,384,40.3
Fairfield,South Carolina,45,39,45039,23956,9236,14167,1373,2488,2925,3878,3703,2065,1118,382,42.3
Florence,South Carolina,45,41,45041,136885,75116,56506,9580,17062,17795,19454,17617,10527,5458,2032,37.5
Georgetown,South Carolina,45,43,45043,60158,38005,20214,2813,5829,6771,8554,9912,7337,3458,1125,45.4
Greenville,South Carolina,45,45,45045,451225,333084,81497,29967,60584,62990,65148,53105,32627,17804,7150,37.1
Greenwood,South Carolina,45,47,45047,69661,43783,21846,5077,8470,8807,9407,8439,5546,3538,1460,37.8
Hampton,South Carolina,45,49,45049,21090,8999,11359,1229,2648,2915,3103,2696,1655,869,305,38.5
Horry,South Carolina,45,51,45051,269291,215071,36202,18432,33834,33463,37077,38526,28382,13675,4013,41.2
Jasper,South Carolina,45,53,45053,24777,10658,11406,1969,3685,3217,3542,2728,1671,785,313,34.6
Kershaw,South Carolina,45,55,45055,61697,43965,15188,3281,6933,7942,9564,8512,5094,2761,942,40.2
Lancaster,South Carolina,45,57,45057,76652,54844,18278,4114,9431,10799,10641,10246,7218,3362,1157,39.6
Laurens,South Carolina,45,59,45059,66537,46848,16933,4455,7165,8616,9803,8913,5586,3109,1293,39.9
Lee,South Carolina,45,61,45061,19220,6419,12359,1376,2550,2267,3008,2604,1453,841,302,38.9
Lexington,South Carolina,45,63,45063,262391,208023,37522,16313,34320,36557,39846,32520,18847,9540,3724,37.7
McCormick,South Carolina,45,65,45065,10233,4985,5083,448,1125,1182,1527,1863,1628,667,154,50
Marion,South Carolina,45,67,45067,33062,13434,18476,1887,3815,3896,4733,4919,2827,1505,520,39.9
Marlboro,South Carolina,45,69,45069,28933,11987,14729,1769,4173,4065,4375,3781,2243,1130,406,38.8
Newberry,South Carolina,45,71,45071,37508,23301,11626,2507,4191,4598,5368,5100,3372,1762,825,39.9
Oconee,South Carolina,45,73,45073,74273,65177,5613,4228,7729,8956,10635,10915,8447,4364,1295,43.4
Orangeburg,South Carolina,45,75,45075,92501,31770,57535,7784,10415,10211,12938,12287,7919,4238,1577,38
Pickens,South Carolina,45,77,45077,119224,105747,7854,14757,13477,13931,15835,13706,9108,4978,1907,34.9
Richland,South Carolina,45,79,45079,384504,181974,176538,40822,57978,49845,51568,41145,21097,11782,4662,32.7
Saluda,South Carolina,45,81,45081,19875,12141,5230,1196,2472,2519,2762,2591,1834,956,405,39.5
Spartanburg,South Carolina,45,83,45083,284307,205680,58565,18886,33863,38810,40946,35187,22066,11736,4425,37.9
Sumter,South Carolina,45,85,45085,107456,51825,50414,8218,14198,12996,15188,12143,7883,4323,1715,35.4
Union,South Carolina,45,87,45087,28961,19286,9066,1548,3053,3747,4476,4038,2637,1543,589,41.9
Williamsburg,South Carolina,45,89,45089,34423,10939,22637,1978,3984,4308,5035,5043,2893,1574,572,40.2
York,South Carolina,45,91,45091,226073,169158,43003,14251,27727,33683,34029,26546,15250,7604,2772,37.1
