GEO_ID,NAME,MEAN_INCOME
45001,Abbeville County,51486
45003,Aiken County,66713
45005,Allendale County,38401
45007,Anderson County,64057
45009,Bamberg County,47509
45011,Barnwell County,48742
45013,Beaufort County,88376
45015,Berkeley County,75504
45017,Calhoun County,60797
45019,Charleston County,90593
45021,Cherokee County,52714
45023,Chester County,51811
45025,Chesterfield County,51767
45027,Clarendon County,52668
45029,Colleton County,51053
45031,Darlington County,52907
45033,Dillon County,43942
45035,Dorchester County,76701
45037,Edgefield County,69741
45039,Fairfield County,54010
45041,Florence County,64233
45043,Georgetown County,71010
45045,Greenville County,78229
45047,Greenwood County,58679
45049,Hampton County,43009
45051,Horry County,63661
45053,Jasper County,58336
45055,Kershaw County,60728
45057,Lancaster County,76139
45059,Laurens County,55273
45061,Lee County,45875
45063,Lexington County,76343
45065,McCormick County,57950
45067,Marion County,50693
45069,Marlboro County,45307
45071,Newberry County,57692
45073,Oconee County,66461
45075,Orangeburg County,49429
45077,Pickens County,62857
45079,Richland County,73371
45081,Saluda County,58014
45083,Spartanburg County,66705
45085,"Sumter County,",56757
45087,Union County,52916
45089,Williamsburg County,46239
45091,York County,83339
