GEO_ID,NAME,Biden,Buttigieg,Gabbard,Klobuchar,Sanders,Steyer,Warren
45001,Abbeville County,57.7,4.1,1.3,2.1,14.6,15.9,3.1
45003,Aiken County,44.8,8.2,1.3,4,21,13.2,6.8
45005,Allendale County,58.3,1,0.2,0.2,12.6,25.4,1.8
45007,Anderson County,41.8,7.4,1.7,3.9,23.5,13.6,7.4
45009,Bamberg County,58.8,1.4,0.2,1,14.8,20.7,2.3
45011,Barnwell County,59.3,1.8,0.7,1.5,15.3,17.2,2.7
45013,Beaufort County,45.8,12.5,1.2,5.6,15.2,12.2,6.9
45015,Berkeley County,49.1,8.3,1.8,2.4,21.3,9.4,6.9
45017,Calhoun County,59.9,2.5,1.3,1.8,15.4,16.2,2.2
45019,Charleston County,44.3,12.6,1.6,3.6,19.2,7.4,10.9
45021,Cherokee County,57.1,3.3,1.2,2.1,21.2,10.9,3.3
45023,Chester County,63.8,3.2,0.7,1.8,19.9,7,2.8
45025,Chesterfield County,64.1,3.2,0.9,1.5,18.8,7.9,2.7
45027,Clarendon County,68.5,2.5,0.9,1.6,12.4,11,2.1
45029,Colleton County,57.8,3.8,1.6,1.8,16.9,13.1,4.3
45031,Darlington County,61.1,4.1,0.8,1.2,16,13.2,3
45033,Dillon County,64.1,1.7,0.3,1.6,15.6,13.8,1.7
45035,Dorchester County,47.5,9,2,2.5,21.7,9.4,7.4
45037,Edgefield County,55.9,3.2,0.8,1.9,17.6,15.6,3.7
45039,Fairfield County,61.1,2.2,1.3,1.2,11.1,20.1,2.3
45041,Florence County,58.8,3.9,0.6,1.5,17.9,12.7,4.1
45043,Georgetown County,53.5,7.8,1.3,3.7,17.6,11.4,4.2
45045,Greenville County,38.2,10.5,1.5,4.3,24.7,10.7,9.6
45047,Greenwood County,47.9,4.9,1,2.9,18.8,19.4,4.3
45049,Hampton County,53.1,1.6,0.6,0.9,15.2,25.7,1.9
45051,Horry County,43.8,9.5,1.3,4.2,22.3,12.7,5.7
45053,Jasper County,52.7,5.6,1.2,3.2,16,16.8,3.6
45055,Kershaw County,55.2,5.6,1,2.2,16.8,13.8,4.7
45057,Lancaster County,51.5,10.2,1.3,5,20.1,4.3,6.7
45059,Laurens County,49.8,4.2,1.5,2.5,20.6,15.4,5
45061,Lee County,68.9,1.8,0.7,0.4,12.2,13.3,1.9
45063,Lexington County,39.9,10.6,2,3.3,23.6,11.6,8.6
45065,McCormick County,48.2,4.5,1,3.6,13.7,25.2,2.8
45067,Marion County,66.8,1.5,0.3,0.9,15.3,12.4,1.9
45069,Marlboro County,61.4,1.2,0.5,1.4,12.8,20.2,1.5
45071,Newberry County,55.4,6.4,1.8,2.6,14.9,14.3,3.8
45073,Oconee County,37.6,9.7,1.4,6.9,24,12.8,7
45075,Orangeburg County,69.9,1.8,0.5,0.6,10.7,13,2.8
45077,Pickens County,32.6,9.9,2.1,4.9,27.8,11.7,10.7
45079,Richland County,53.1,6.7,0.8,1.9,16.8,12.2,8
45081,Saluda County,54.1,3.7,1,1.8,18.1,16.7,3.5
45083,Spartanburg County,42.3,7.8,1.2,3.2,24.9,12.3,7.7
45085,Sumter County,65.4,3.2,0.6,0.9,13.1,13,3
45087,Union County,57.3,2.6,0.8,1.5,19,14.2,3.2
45089,Williamsburg County,70.1,0.9,0.4,0.8,13.5,11.5,1.8
45091,York County,43.6,11.7,1.3,4.7,24.7,4.7,8.7
